ID,Description1,Price1,Price2,Price3,ID_1,Description
S2 10/12,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 10/25T,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 120-220,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 27/10,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 27/30,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 25/32/30,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 30/33,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 4/27T,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 6/4,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 8,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 88T27,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 1/B3,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 1/B33,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 10/12,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 10/25T,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 120-220,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 20/27,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 30/33,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 4/27T,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 4/35T,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3  6/4,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 8,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 88T27,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 6/4,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 88/27,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 88/27,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 1,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 10/13,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 10/13,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 12T88,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 25/144/6,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 23B25,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 1/6,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 1,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 1/6,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 10,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 107/2,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 27V66,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 23B25,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 4/30T,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 B2,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 25/144/6,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 88T27/10,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 4/30T,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 10,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 B1,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 B3,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 12T88,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S3 88T2710,WAVY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 1/B33,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 10/25T,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 120/220,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 27/10,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 25/32/30,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 88T27,,6.5,13,13,HAIR A,HAIR ACCESORIES
S1B 88T27/10,,6.5,13,13,HAIR A,HAIR ACCESORIES
S26 1/B33,,12,24,24,HAIR A,HAIR ACCESORIES
S26 10/25T,,12,24,24,HAIR A,HAIR ACCESORIES
S26 27/10,,12,24,24,HAIR A,HAIR ACCESORIES
S26 27/30,,12,24,24,HAIR A,HAIR ACCESORIES
S26 25/32/30,,12,24,24,HAIR A,HAIR ACCESORIES
S26 88T27,,12,24,24,HAIR A,HAIR ACCESORIES
S26 88T27/10,,12,24,24,HAIR A,HAIR ACCESORIES
S6 10/12,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 10/25T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 120-220,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 27/10,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 20/27,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 25/32/30,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 30/33,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 4/27T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 4/35T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 6/4,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 8,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S6 88T27,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 1/B3,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 1/B33,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 10/12,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 10/25T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 120/220,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 27/30,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 20/27,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 25/32/30,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 30/33,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 4/27T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 4/35T,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 6/4,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 8,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S8 88T27,CASCADE/CURLY W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S10 1/B3,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 1/B33,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 4/35T,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S10 6/4,CASCADE W/CLIP-PERM,20,40,40,HAIR A,HAIR ACCESORIES
S12 1/B3,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 1/B33,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 10/12,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 10/25T,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 120-220,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 27/30,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
