ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
9AR,9AR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
ARANCIO,ARANCIO,7.75,4.9,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CELESTE,CELESTE,7.75,4.9,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
COPPER,J KONTRAST COPPER,4.8,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
COPPER RED,J KONTRAST COPPER RED,4.8,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CORRE-BLU,CORRETTORE BLU,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CORRE-GIALLO,CORRETTORE GIALLO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CORRE-GREY,CORRECTOR GREY,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CORRE-ROSSO,CORRETTORE ROSSO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
CORRE-VIOLA,CORRETTORE VIOLA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
FUCSIA,FUCSIA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
JALYD INTRO1,JALYD COLOR INTRODUCTION I,405,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
LILLIA,LILLIA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
RED,J KONTRAST RED/ROSSO,4.8,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
SXB BIONDO,SXB BIONDO ULTRA CHIARO BEIG,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
SXC BIONDO,SXC BIONDO ULTRA CHIARO CENE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
SXD BIONDO,SXD BIONDO ULTRA CHIARO DORA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
